ID,教科名,学年,科目,区分,単位数
J-2021-0,国語ⅠA,1,一般,必修,2
J-2021-1,国語ⅠB,1,一般,必修,2
J-2021-2,地理A,1,一般,必修,1
J-2021-3,地理B,1,一般,必修,2
J-2021-4,美術,1,一般,必修,1
J-2021-5,英語ⅠA,1,一般,必修,1
J-2021-6,英語ⅠB,1,一般,必修,1
J-2021-7,英語ⅡA,1,一般,必修,1
J-2021-8,英語ⅡB,1,一般,必修,1
J-2021-9,英文法,1,一般,必修,2
J-2021-10,保健体育ⅠA,1,一般,必修,1
J-2021-11,保健体育ⅠB,1,一般,必修,1
J-2021-12,基礎数学Ⅰ,1,一般,必修,3
J-2021-13,基礎数学Ⅱ,1,一般,必修,2
J-2021-14,基礎数学Ⅲ,1,一般,必修,1
J-2021-15,基礎科学,1,一般,必修,1
J-2021-16,物理学Ⅰ,1,一般,必修,1
J-2021-17,基礎化学ⅠA,1,一般,必修,1
J-2021-18,基礎化学ⅠB,1,一般,必修,1
J-2021-19,コンピュータ入門I,1,専門,必修,1
J-2021-20,コンピュータ入門II,1,専門,必修,1
J-2021-21,コンピュータ演習I,1,専門,必修,1
J-2021-22,コンピュータ演習II,1,専門,必修,1
J-2021-23,技術者入門I,1,専門,必修,1
J-2021-24,技術者入門II,1,専門,必修,1
J-2021-25,実験・実習IA,1,専門,必修,1
J-2021-26,実験・実習IB,1,専門,必修,1
J-2021-27,日本文化論,2,一般,選択,1
J-2021-28,国語ⅡA,2,一般,必修,1
J-2021-29,国語ⅡB,2,一般,必修,1
J-2021-30,歴史A,2,一般,必修,1
J-2021-31,歴史B,2,一般,必修,2
J-2021-32,英語ⅢＡ,2,一般,必修,1
J-2021-33,英語ⅢＢ,2,一般,必修,1
J-2021-34,英語ⅣＡ,2,一般,必修,1
J-2021-35,英語ⅣＢ,2,一般,必修,1
J-2021-36,保健体育ⅡA,2,一般,必修,1
J-2021-37,保健体育ⅡB,2,一般,必修,1
J-2021-38,線形代数ⅠA,2,一般,必修,1
J-2021-39,線形代数ⅠB,2,一般,必修,1
J-2021-40,微分積分ⅠA,2,一般,必修,2
J-2021-41,微分積分ⅠB,2,一般,必修,2
J-2021-42,物理学ⅡA,2,一般,必修,1
J-2021-43,物理学ⅡB,2,一般,必修,1
J-2021-44,化学ⅠA,2,一般,必修,1
J-2021-45,化学ⅠB,2,一般,必修,1
J-2021-46,プログラミング基礎Ⅰ,2,専門,必修,1
J-2021-47,プログラミング基礎Ⅱ,2,専門,必修,1
J-2021-48,プログラミング演習ⅠA,2,専門,必修,1
J-2021-49,プログラミング演習ⅠB,2,専門,必修,1
J-2021-50,電気回路Ⅰ,2,専門,必修,1
J-2021-51,電気回路Ⅱ,2,専門,必修,1
J-2021-52,論理回路Ⅰ,2,専門,必修,1
J-2021-53,論理回路Ⅱ,2,専門,必修,1
J-2021-54,実験・実習 IIA,2,専門,必修,1
J-2021-55,実験・実習 IIB,2,専門,必修,1
J-2021-56,国語Ⅲ,3,一般,必修,1
J-2021-57,現代社会A,3,一般,必修,1
J-2021-58,現代社会B,3,一般,必修,2
J-2021-59,英語ⅤA,3,一般,必修,1
J-2021-60,英語ⅤB,3,一般,必修,1
J-2021-61,体育ⅠA,3,一般,必修,1
J-2021-62,体育ⅠB,3,一般,必修,1
J-2021-63,線形代数Ⅱ,3,一般,必修,1
J-2021-64,微分積分Ⅱ,3,一般,必修,2
J-2021-65,微分積分Ⅲ,3,一般,必修,2
J-2021-66,ﾗｲﾌｻｲｴﾝｽ・ｱｰｽｻｲｴﾝｽ,3,一般,必修,1
J-2021-67,物理学Ⅲ,3,一般,必修,1
J-2021-68,物理学Ⅳ,3,一般,必修,1
J-2021-69,化学Ⅱ,3,一般,必修,1
J-2021-70,一般特別セミナー,3,一般,必修選択,1
