ID,教科名,学年,科目,区分,単位数
C-2021-0,国語ⅠA,1,一般,必修,2
C-2021-1,国語ⅠB,1,一般,必修,2
C-2021-2,地理A,1,一般,必修,1
C-2021-3,地理B,1,一般,必修,2
C-2021-4,美術,1,一般,必修,1
C-2021-5,英語ⅠA,1,一般,必修,1
C-2021-6,英語ⅠB,1,一般,必修,1
C-2021-7,英語ⅡA,1,一般,必修,1
C-2021-8,基礎数学Ⅱ,1,一般,必修,2
C-2021-9,基礎数学Ⅲ,1,一般,必修,1
C-2021-10,基礎科学,1,一般,必修,1
C-2021-11,物理学Ⅰ,1,一般,必修,1
C-2021-12,基礎化学ⅠA,1,一般,必修,1
C-2021-13,基礎化学ⅠB,1,一般,必修,1
C-2021-14,英語ⅡB,1,一般,必修,1
C-2021-15,英文法,1,一般,必修,2
C-2021-16,保健体育ⅠA,1,一般,必修,1
C-2021-17,保健体育ⅠB,1,一般,必修,1
C-2021-18,基礎数学Ⅰ,1,一般,必修,3
C-2021-19,環境都市工学概論Ⅰ,1,専門,必修,1
C-2021-20,技術者入門I,1,専門,必修,1
C-2021-21,技術者入門II,1,専門,必修,1
C-2021-22,情報処理入門,1,専門,必修,1
C-2021-23,測量学Ⅰ,1,専門,必修,1
C-2021-24,力学基礎,1,専門,必修,1
C-2021-25,日本文化論,2,一般,選択,1
C-2021-26,国語ⅡA,2,一般,必修,1
C-2021-27,国語ⅡB,2,一般,必修,1
C-2021-28,微分積分ⅠB,2,一般,必修,2
C-2021-29,物理学ⅡA,2,一般,必修,1
C-2021-30,物理学ⅡB,2,一般,必修,1
C-2021-31,化学ⅠA,2,一般,必修,1
C-2021-32,化学ⅠB,2,一般,必修,1
C-2021-33,歴史A,2,一般,必修,1
C-2021-34,歴史B,2,一般,必修,2
C-2021-35,英語ⅢＡ,2,一般,必修,1
C-2021-36,英語ⅢＢ,2,一般,必修,1
C-2021-37,英語ⅣＡ,2,一般,必修,1
C-2021-38,英語ⅣＢ,2,一般,必修,1
C-2021-39,保健体育ⅡA,2,一般,必修,1
C-2021-40,保健体育ⅡB,2,一般,必修,1
C-2021-41,線形代数ⅠA,2,一般,必修,1
C-2021-42,線形代数ⅠB,2,一般,必修,1
C-2021-43,微分積分ⅠA,2,一般,必修,2
C-2021-44,環境都市工学概論Ⅱ,2,専門,必修,1
C-2021-45,測量学Ⅱ,2,専門,必修,1
C-2021-46,測量学Ⅲ,2,専門,必修,1
C-2021-47,構造力学Ⅰ,2,専門,必修,1
C-2021-48,構造力学Ⅱ,2,専門,必修,1
C-2021-49,建設材料学,2,専門,必修,1
C-2021-50,材料実験,2,専門,必修,2
C-2021-51,測量実習A,2,専門,必修,1
C-2021-52,測量実習B ,2,専門,必修,1
C-2021-53,国語Ⅲ,3,一般,必修,1
C-2021-54,現代社会A,3,一般,必修,1
C-2021-55,現代社会B,3,一般,必修,2
C-2021-56,英語ⅤA,3,一般,必修,1
C-2021-57,英語ⅤB,3,一般,必修,1
C-2021-58,体育ⅠA,3,一般,必修,1
C-2021-59,体育ⅠB,3,一般,必修,1
C-2021-60,線形代数Ⅱ,3,一般,必修,1
C-2021-61,微分積分Ⅱ,3,一般,必修,2
C-2021-62,微分積分Ⅲ,3,一般,必修,2
C-2021-63,ﾗｲﾌｻｲｴﾝｽ・ｱｰｽｻｲｴﾝｽ,3,一般,必修,1
C-2021-64,物理学Ⅲ,3,一般,必修,1
C-2021-65,物理学Ⅳ,3,一般,必修,1
C-2021-66,化学Ⅱ,3,一般,必修,1
C-2021-67,一般特別セミナー,3,一般,必修選択,1
C-2021-68,日本語ⅠA,3,一般,必修(留学生）,1
C-2021-69,日本文化論,3,一般,選択,1
C-2021-70,日本事情ⅠA,3,一般,必修（留学生）,1
C-2021-71,日本事情ⅠB,3,一般,必修（留学生）,1
C-2021-72,日本事情ⅡA,3,一般,必修（留学生）,1
C-2021-73,日本事情ⅡB,3,一般,必修（留学生）,1
C-2021-74,日本事情Ⅲ,3,一般,必修（留学生）,1
C-2021-75,日本語ⅠB,3,一般,必修（留学生）,1
C-2021-76,ドイツ語ⅠA,3,一般,必修,1
C-2021-77,ドイツ語ⅠB,3,一般,必修,1
C-2021-78,プログラミング演習,3,専門,必修,1
C-2021-79,測量学Ⅳ,3,専門,必修,1
C-2021-80,土木総合学習Ⅰ,3,専門,必修,1
C-2021-81,水理学Ⅰ,3,専門,必修,1
C-2021-82,水理学Ⅱ,3,専門,必修,1
