ID,教科名,学年,科目,区分,単位数
D-2025-0,国語IA,1,一般,必修,1
D-2025-1,国語IB,1,一般,必修,1
D-2025-2,地理A,1,一般,必修,1
D-2025-3,地理B,1,一般,必修,1
D-2025-4,芸術,1,一般,必修,1
D-2025-5,英語(ＬＳ)IA,1,一般,必修,1
D-2025-6,英語(ＬＳ)IB,1,一般,必修,1
D-2025-7,英語(ＲＷ)IA,1,一般,必修,1
D-2025-8,英語(ＲＷ)IB,1,一般,必修,1
D-2025-9,英語(Ｇ)A,1,一般,必修,1
D-2025-10,英語(Ｇ)B,1,一般,必修,1
D-2025-11,保健体育IA,1,一般,必修,1
D-2025-12,保健体育IB,1,一般,必修,1
D-2025-13,基礎数学I,1,一般,必修,3
D-2025-14,基礎数学II,1,一般,必修,2
D-2025-15,基礎数学III,1,一般,必修,1
D-2025-16,基礎科学,1,一般,必修,1
D-2025-17,物理学I,1,一般,必修,1
D-2025-18,基礎化学IA,1,一般,必修,1
D-2025-19,基礎化学IB,1,一般,必修,1
D-2025-20,電子制御入門I,1,専門,必修,1
D-2025-21,電子制御入門II,1,専門,必修,1
D-2025-22,計算機演習,1,専門,必修,1
D-2025-23,電子計算機I,1,専門,必修,1
D-2025-24,技術者入門I,1,専門,必修,1
D-2025-25,技術者入門II,1,専門,必修,1
D-2025-26,情報セキュリティ演習,1,専門,選択,1
D-2025-27,国語IIA,2,一般,必修,1
D-2025-28,国語IIB,2,一般,必修,1
D-2025-29,歴史A,2,一般,必修,1
D-2025-30,歴史B,2,一般,必修,2
D-2025-31,英語(LS)IIA,2,一般,必修,1
D-2025-32,英語(LS)IIB,2,一般,必修,1
D-2025-33,英語(RW)IIA,2,一般,必修,1
D-2025-34,英語(RW)IIB,2,一般,必修,1
D-2025-35,保健体育IIA,2,一般,必修,1
D-2025-36,保健体育IIB,2,一般,必修,1
D-2025-37,線形代数IA,2,一般,必修,1
D-2025-38,線形代数IB,2,一般,必修,1
D-2025-39,微分積分IA,2,一般,必修,2
D-2025-40,微分積分IB,2,一般,必修,2
D-2025-41,物理学IIA,2,一般,必修,1
D-2025-42,物理学IIB,2,一般,必修,1
D-2025-43,化学IA,2,一般,必修,1
D-2025-44,化学IB,2,一般,必修,1
D-2025-45,製図I,2,専門,必修,1
D-2025-46,製図II,2,専門,必修,1
D-2025-47,電磁気学I,2,専門,必修,1
D-2025-48,電気回路I,2,専門,必修,1
D-2025-49,電子計算機II,2,専門,必修,1
D-2025-50,電子計算機III,2,専門,必修,1
D-2025-51,プログラミング技法I,2,専門,必修,1
D-2025-52,プログラミング技法II,2,専門,必修,1
D-2025-53,実験実習I,2,専門,必修,1
D-2025-54,実験実習II,2,専門,必修,1
D-2025-55,情報セキュリティ演習,2,専門,選択,1
D-2025-56,日本文化論,3,一般,選択,1
D-2025-57,日本事情IIA,3,一般,必修（留学生）,1
D-2025-58,日本事情IIB,3,一般,必修（留学生）,1
D-2025-59,日本事情III,3,一般,必修（留学生）,1
D-2025-60,国語III,3,一般,必修,1
D-2025-61,現代社会A,3,一般,必修,1
D-2025-62,現代社会B,3,一般,必修,2
D-2025-63,英語VA,3,一般,必修,1
D-2025-64,英語VB,3,一般,必修,1
D-2025-65,ドイツ語IA,3,一般,必修,1
D-2025-66,ドイツ語IB,3,一般,必修,1
D-2025-67,体育IA,3,一般,必修,1
D-2025-68,体育IB,3,一般,必修,1
D-2025-69,線形代数II,3,一般,必修,1
D-2025-70,微分積分II,3,一般,必修,2
D-2025-71,微分積分III,3,一般,必修,2
D-2025-72,ライフサイエンス・アースサイエンス,3,一般,必修,1
D-2025-73,物理学III,3,一般,必修,1
D-2025-74,物理学IV,3,一般,必修,1
D-2025-75,化学II,3,一般,必修,1
D-2025-76,一般特別セミナー,3,一般,必修選択,1
D-2025-77,日本語IA,3,一般,必修(留学生）,1
D-2025-78,日本事情IA,3,一般,必修（留学生）,1
D-2025-79,日本事情IB,3,一般,必修（留学生）,1
D-2025-80,日本語IB,3,一般,必修（留学生）,1
D-2025-81,工業力学,3,専門,必修,1
D-2025-82,機械力学,3,専門,必修,1
D-2025-83,電磁気学II,3,専門,必修,1
D-2025-84,電磁気学III,3,専門,必修,1
D-2025-85,電気回路II,3,専門,必修,1
D-2025-86,電気回路III,3,専門,必修,1
D-2025-87,電子工学I,3,専門,必修,1
D-2025-88,電子工学II,3,専門,必修,1
D-2025-89,計測工学I,3,専門,必修,1
D-2025-90,計測工学II,3,専門,必修,1
D-2025-91,実験実習III,3,専門,必修,2
D-2025-92,実験実習IV,3,専門,必修,2
D-2025-93,プロジェクト実習,3,専門,必修選択,1
D-2025-94,日本文化論,4,一般,選択,1
D-2025-95,国語表現,4,一般,必修,1
D-2025-96,体育II,4,一般,必修,1
D-2025-97,英語演習IA,4,一般,必修選択,1
D-2025-98,英会話IA,4,一般,必修選択,1
D-2025-99,英語演習IB,4,一般,必修選択,1
D-2025-100,英会話IB,4,一般,必修選択,1
D-2025-101,哲学A,4,一般,必修選択,2
D-2025-102,経済学A,4,一般,必修選択,2
D-2025-103,社会学A,4,一般,必修選択,2
D-2025-104,哲学B,4,一般,必修選択,2
D-2025-105,経済学B,4,一般,必修選択,2
D-2025-106,社会学B,4,一般,必修選択,2
D-2025-107,ドイツ語IIA,4,一般,選択,1
D-2025-108,中国語IA,4,一般,選択,1
D-2025-109,ドイツ語IIB,4,一般,選択,1
D-2025-110,中国語IB,4,一般,選択,1
D-2025-111,日本語IIA,4,一般,必修,1
D-2025-112,日本語IIB,4,一般,必修,1
D-2025-113,学外実習,4,専門,選択,2
D-2025-114,応用物理実験,4,専門,必修,1
D-2025-115,材料力学I,4,専門,必修,2
D-2025-116,材料力学II,4,専門,必修,2
D-2025-117,機械設計工学I,4,専門,必修,2
D-2025-118,電子回路I,4,専門,必修,2
D-2025-119,電子回路II,4,専門,必修,2
D-2025-120,情報処理I,4,専門,必修,2
D-2025-121,情報処理II,4,専門,必修,2
D-2025-122,制御工学I,4,専門,必修,2
D-2025-123,制御工学II,4,専門,必修,2
D-2025-124,工業英語演習,4,専門,必修,1
D-2025-125,実験実習V,4,専門,必修,2
D-2025-126,課題研究,4,専門,必修,2
D-2025-127,応用数学A,4,専門,必修選択,2
D-2025-128,応用数学B,4,専門,必修選択,2
D-2025-129,応用数学C,4,専門,必修選択,2
D-2025-130,電磁気学IV,4,専門,選択,1
D-2025-131,電気回路IV,4,専門,選択,1
D-2025-132,電子工学III,4,専門,選択,1
D-2025-133,電子工学IV,4,専門,選択,1
D-2025-134,日本文化論,5,一般,選択,1
D-2025-135,体育III,5,一般,必修,1
D-2025-136,英語演習II,5,一般,必修選択,1
D-2025-137,英会話II,5,一般,必修選択,1
D-2025-138,国文学,5,一般,選択,1
D-2025-139,心理学,5,一般,選択,1
D-2025-140,法学,5,一般,選択,1
D-2025-141,ドイツ語IIIA,5,一般,選択,1
D-2025-142,中国語IIA,5,一般,選択,1
D-2025-143,ドイツ語IIIB,5,一般,選択,1
D-2025-144,中国語IIB,5,一般,選択,1
D-2025-145,日本語IIIA,5,一般,必修(留学生）,1
D-2025-146,日本語IIIB,5,一般,必修(留学生）,1
D-2025-147,統計学,5,専門,必修,2
D-2025-148,材料力学III,5,専門,必修,2
D-2025-149,機械設計工学II,5,専門,必修,2
D-2025-150,電子回路III,5,専門,必修,2
D-2025-151,制御工学III,5,専門,必修,2
D-2025-152,制御工学IV,5,専門,必修,2
D-2025-153,制御機器,5,専門,必修,2
D-2025-154,情報工学,5,専門,必修,2
D-2025-155,卒業研究,5,専門,必修,8
D-2025-156,応用物理,5,専門,選択,1
D-2025-157,流体力学,5,専門,選択,1
D-2025-158,熱力学,5,専門,選択,1
D-2025-159,計算機制御工学,5,専門,選択,1
D-2025-160,ロボット工学I,5,専門,選択,1
D-2025-161,ロボット工学II,5,専門,選択,1
D-2025-162,システム工学,5,専門,選択,1
D-2025-163,電子回路IV,5,専門,選択,1
