ID,教科名,学年,科目,区分,単位数
E-2025-0,国語IA,1,一般,必修,1
E-2025-1,国語IB,1,一般,必修,1
E-2025-2,地理A,1,一般,必修,1
E-2025-3,地理B,1,一般,必修,1
E-2025-4,芸術,1,一般,必修,1
E-2025-5,英語(ＬＳ)IA,1,一般,必修,1
E-2025-6,英語(ＬＳ)IB,1,一般,必修,1
E-2025-7,英語(ＲＷ)IA,1,一般,必修,1
E-2025-8,英語(ＲＷ)IB,1,一般,必修,1
E-2025-9,英語(Ｇ)A,1,一般,必修,1
E-2025-10,英語(Ｇ)B,1,一般,必修,1
E-2025-11,保健体育IA,1,一般,必修,1
E-2025-12,保健体育IB,1,一般,必修,1
E-2025-13,基礎数学I,1,一般,必修,3
E-2025-14,基礎数学II,1,一般,必修,2
E-2025-15,基礎数学III,1,一般,必修,1
E-2025-16,基礎科学,1,一般,必修,1
E-2025-17,物理学I,1,一般,必修,1
E-2025-18,基礎化学IA,1,一般,必修,1
E-2025-19,基礎化学IB,1,一般,必修,1
E-2025-20,技術者入門I,1,専門,必修,1
E-2025-21,技術者入門II,1,専門,必修,1
E-2025-22,電気電子工学入門,1,専門,必修,1
E-2025-23,情報リテラシー,1,専門,必修,1
E-2025-24,プログラミングI,1,専門,必修,1
E-2025-25,ディジタル回路I,1,専門,必修,1
E-2025-26,電気電子製図I,1,専門,必修,1
E-2025-27,情報セキュリティ演習,1,専門,選択,1
E-2025-28,国語IIA,2,一般,必修,1
E-2025-29,国語IIB,2,一般,必修,1
E-2025-30,歴史A,2,一般,必修,1
E-2025-31,歴史B,2,一般,必修,2
E-2025-32,英語(LS)IIA,2,一般,必修,1
E-2025-33,英語(LS)IIB,2,一般,必修,1
E-2025-34,英語(RW)IIA,2,一般,必修,1
E-2025-35,英語(RW)IIB,2,一般,必修,1
E-2025-36,保健体育IIA,2,一般,必修,1
E-2025-37,保健体育IIB,2,一般,必修,1
E-2025-38,線形代数IA,2,一般,必修,1
E-2025-39,線形代数IB,2,一般,必修,1
E-2025-40,微分積分IA,2,一般,必修,2
E-2025-41,微分積分IB,2,一般,必修,2
E-2025-42,物理学IIA,2,一般,必修,1
E-2025-43,物理学IIB,2,一般,必修,1
E-2025-44,化学IA,2,一般,必修,1
E-2025-45,化学IB,2,一般,必修,1
E-2025-46,工学基礎演習I,2,専門,必修,1
E-2025-47,電気磁気学IA,2,専門,必修,1
E-2025-48,電気磁気学IB,2,専門,必修,1
E-2025-49,電気回路IA,2,専門,必修,1
E-2025-50,電気回路IB,2,専門,必修,1
E-2025-51,プログラミングII,2,専門,必修,1
E-2025-52,実験実習IA,2,専門,必修,2
E-2025-53,実験実習IB,2,専門,必修,2
E-2025-54,情報セキュリティ演習,2,専門,選択,1
E-2025-55,日本文化論,3,一般,選択,1
E-2025-56,日本事情IIA,3,一般,必修（留学生）,1
E-2025-57,日本事情IIB,3,一般,必修（留学生）,1
E-2025-58,日本事情III,3,一般,必修（留学生）,1
E-2025-59,国語III,3,一般,必修,1
E-2025-60,現代社会A,3,一般,必修,1
E-2025-61,現代社会B,3,一般,必修,2
E-2025-62,英語VA,3,一般,必修,1
E-2025-63,英語VB,3,一般,必修,1
E-2025-64,ドイツ語IA,3,一般,必修,1
E-2025-65,ドイツ語IB,3,一般,必修,1
E-2025-66,体育IA,3,一般,必修,1
E-2025-67,体育IB,3,一般,必修,1
E-2025-68,線形代数II,3,一般,必修,1
E-2025-69,微分積分II,3,一般,必修,2
E-2025-70,微分積分III,3,一般,必修,2
E-2025-71,ライフサイエンス・アースサイエンス,3,一般,必修,1
E-2025-72,物理学III,3,一般,必修,1
E-2025-73,物理学IV,3,一般,必修,1
E-2025-74,化学II,3,一般,必修,1
E-2025-75,一般特別セミナー,3,一般,必修選択,1
E-2025-76,日本語IA,3,一般,必修（留学生）,1
E-2025-77,日本事情IA,3,一般,必修（留学生）,1
E-2025-78,日本事情IB,3,一般,必修（留学生）,1
E-2025-79,日本語IB,3,一般,必修（留学生）,1
E-2025-80,工学基礎演習II,3,専門,必修,1
E-2025-81,電気磁気学IIA,3,専門,必修,1
E-2025-82,電気磁気学IIB,3,専門,必修,1
E-2025-83,電気回路IIA,3,専門,必修,1
E-2025-84,電気回路IIB,3,専門,必修,1
E-2025-85,電子工学I,3,専門,必修,1
E-2025-86,電子工学II,3,専門,必修,1
E-2025-87,ディジタル回路II,3,専門,必修,1
E-2025-88,組み込みプログラミング,3,専門,必修,1
E-2025-89,実験実習IIA,3,専門,必修,2
E-2025-90,実験実習IIB,3,専門,必修,2
E-2025-91,機械工作実習,3,専門,必修,1
E-2025-92,プロジェクト実習,3,専門,必修選択,1
E-2025-93,日本文化論,4,一般,選択,1
