ID,教科名,学年,科目,区分,単位数
M-2021-0,国語ⅠA,1,一般,必修,2
M-2021-1,国語ⅠB,1,一般,必修,2
M-2021-2,地理A,1,一般,必修,1
M-2021-3,地理B,1,一般,必修,2
M-2021-4,美術,1,一般,必修,1
M-2021-5,英語ⅠA,1,一般,必修,1
M-2021-6,英語ⅠB,1,一般,必修,1
M-2021-7,英語ⅡA,1,一般,必修,1
M-2021-8,英語ⅡB,1,一般,必修,1
M-2021-9,英文法,1,一般,必修,2
M-2021-10,保健体育ⅠA,1,一般,必修,1
M-2021-11,保健体育ⅠB,1,一般,必修,1
M-2021-12,基礎数学Ⅰ,1,一般,必修,3
M-2021-13,基礎数学Ⅱ,1,一般,必修,2
M-2021-14,基礎数学Ⅲ,1,一般,必修,1
M-2021-15,基礎科学,1,一般,必修,1
M-2021-16,物理学Ⅰ,1,一般,必修,1
M-2021-17,基礎化学ⅠA,1,一般,必修,1
M-2021-18,基礎化学ⅠB,1,一般,必修,1
M-2021-19,情報処理Ⅰ,1,専門,必修,1
M-2021-20,情報処理II,1,専門,必修,1
M-2021-21,技術者入門I,1,専門,必修,1
M-2021-22,技術者入門II,1,専門,必修,1
M-2021-23,図学製図I,1,専門,必修,1
M-2021-24,図学製図II,1,専門,必修,1
M-2021-25,工学実験IA,1,専門,必修,1
M-2021-26,工学実験IB,1,専門,必修,1
M-2021-27,線形代数ⅠB,2,一般,必修,1
M-2021-28,微分積分ⅠA,2,一般,必修,2
M-2021-29,微分積分ⅠB,2,一般,必修,2
M-2021-30,物理学ⅡA,2,一般,必修,1
M-2021-31,物理学ⅡB,2,一般,必修,1
M-2021-32,化学ⅠA,2,一般,必修,1
M-2021-33,化学ⅠB,2,一般,必修,1
M-2021-34,日本文化論,2,一般,選択,1
M-2021-35,国語ⅡA,2,一般,必修,1
M-2021-36,国語ⅡB,2,一般,必修,1
M-2021-37,歴史A,2,一般,必修,1
M-2021-38,歴史B,2,一般,必修,2
M-2021-39,英語ⅢＡ,2,一般,必修,1
M-2021-40,英語ⅢＢ,2,一般,必修,1
M-2021-41,英語ⅣＡ,2,一般,必修,1
M-2021-42,英語ⅣＢ,2,一般,必修,1
M-2021-43,保健体育ⅡA,2,一般,必修,1
M-2021-44,保健体育ⅡB,2,一般,必修,1
M-2021-45,線形代数ⅠA,2,一般,必修,1
M-2021-46,情報処理Ⅲ,2,専門,必修,1
M-2021-47,電気回路,2,専門,必修,1
M-2021-48,機構学Ⅰ,2,専門,必修,1
M-2021-49,工業力学Ⅰ,2,専門,必修,1
M-2021-50,工業力学Ⅱ,2,専門,必修,1
M-2021-51,設計製図Ⅰ,2,専門,必修,1
M-2021-52,工学実験ⅡA,2,専門,必修,1
M-2021-53,工学実験ⅡB,2,専門,必修,1
M-2021-54,製作実習Ⅰ,2,専門,必修,2
M-2021-55,国語Ⅲ,3,一般,必修,1
M-2021-56,現代社会A,3,一般,必修,1
M-2021-57,現代社会B,3,一般,必修,2
M-2021-58,英語ⅤA,3,一般,必修,1
M-2021-59,英語ⅤB,3,一般,必修,1
M-2021-60,体育ⅠA,3,一般,必修,1
M-2021-61,体育ⅠB,3,一般,必修,1
M-2021-62,線形代数Ⅱ,3,一般,必修,1
M-2021-63,微分積分Ⅱ,3,一般,必修,2
M-2021-64,微分積分Ⅲ,3,一般,必修,2
M-2021-65,ﾗｲﾌｻｲｴﾝｽ・ｱｰｽｻｲｴﾝｽ,3,一般,必修,1
M-2021-66,物理学Ⅲ,3,一般,必修,1
M-2021-67,物理学Ⅳ,3,一般,必修,1
M-2021-68,化学Ⅱ,3,一般,必修,1
M-2021-69,一般特別セミナー,3,一般,必修選択,1
M-2021-70,日本文化論,3,一般,選択,1
M-2021-71,ドイツ語ⅠA,3,一般,必修,1
M-2021-72,ドイツ語ⅠB,3,一般,必修,1
M-2021-73,日本事情ⅠA,3,一般,必修（留学生）,1
M-2021-74,日本事情ⅠB,3,一般,必修（留学生）,1
M-2021-75,日本事情ⅡA,3,一般,必修（留学生）,1
M-2021-76,日本事情ⅡB,3,一般,必修（留学生）,1
M-2021-77,日本事情Ⅲ,3,一般,必修（留学生）,1
M-2021-78,日本語ⅠA,3,一般,必修（留学生）,1
M-2021-79,日本語ⅠB,3,一般,必修（留学生）,1
